file_name,project_name,source_file,status
project-001-anji-white-tea.png,安吉白茶制作技艺,温暖茶叶静物摄影.png,included
project-002-huangshan-maofeng.png,黄山毛峰制作技艺,茶叶与陶瓷茶具静物.png,included
project-003-xinyang-maojian.png,信阳毛尖制作技艺,茶叶挑选与茶具准备.png,included
project-004-fuzhou-jasmine-tea.png,福州茉莉花茶窨制技艺,茶叶与茉莉花的细腻工艺.png,included
project-005-chaozhou-gongfu-tea.png,潮州工夫茶艺,温暖茶道仪式与精致茶具.png,included
project-006-puer-tea.png,普洱茶制作技艺,温暖茶艺古物静物景.png,included
project-007-liubao-tea.png,六堡茶制作技艺,茶叶与温暖的茶道气氛.png,included
project-008-taiping-houkui.png,太平猴魁制作技艺,温暖茶室中的茶叶与器具.png,included
project-009-dehua-porcelain.png,德化瓷烧制技艺,温暖光影中的瓷器菩萨像.png,included
project-010-jizhou-ware.png,吉州窑陶瓷烧制技艺,温暖陶艺茶道静物.png,included
project-011-cizhou-ware.png,磁州窑烧制技艺,温暖的陶艺工作室氛围.png,included
project-012-ru-porcelain.png,汝瓷烧制技艺,温暖静谧的陶瓷花瓶.png,included
project-013-jianzhan.png,建盏烧制技艺,温馨茶室静物景象.png,included
project-014-jun-porcelain.png,钧瓷烧制技艺,温暖的陶艺工作室静物.png,included
project-015-fahua-pottery.png,法花陶瓷烧制技艺,温暖的传统静物场景.png,included
project-016-nanjing-yunjin.png,南京云锦织造技艺,传统织锦工艺的细致手工.png,included
project-017-chengdu-shujin.png,蜀锦织造技艺,织锦工坊中的华丽布料.png,included
project-018-suzhou-songjin.png,宋锦织造技艺,精美织锦与传统织机.png,included
project-019-zhuang-brocade.png,壮锦织造技艺,传统手工织布工艺.png,included
project-020-dong-brocade.png,侗锦织造技艺,传统织布工作室的温暖静物.png,included
project-021-tujia-brocade.png,土家族织锦技艺,传统织布机与精美织锦.png,included
project-022-li-brocade.png,黎锦织造技艺,温暖的手工织布艺术.png,included
project-023-kesi-weaving.png,缂丝织造技艺,传统织布工坊静物细节.png,included
project-024-gu-embroidery.png,顾绣,精致刺绣与温暖光影.png,included
project-025-shu-embroidery.png,蜀绣,古典刺绣工作室唯美景致.png,included
project-026-chaozhou-embroidery.png,潮绣,传统刺绣工艺的细节之美.png,included
project-027-dali-tie-dye.png,大理白族扎染技艺,蓝白花纹工艺工作室.png,included
project-028-miao-batik.png,苗族蜡染技艺,传统靛蓝染坊工作室.png,included
project-029-plant-dyeing.png,草木染传统染色技艺,手工染料工作室静物画.png,included
project-030-jinhua-ham.png,金华火腿腌制技艺,传统熟肉工坊静物.png,included
project-031-zhenjiang-vinegar.png,镇江香醋酿制技艺,传统酿造与酱料制作.png,included
project-032-shanxi-aged-vinegar.png,山西老陈醋酿制技艺,温暖的陶瓷陈列场景.png,included
project-033-longkou-vermicelli.png,龙口粉丝传统制作技艺,传统面条干燥工坊.png,included
project-034-crossing-bridge-rice-noodles.png,过桥米线制作技艺,温馨的亚洲面食静物景观.png,included
project-035-nanjing-salted-duck.png,南京盐水鸭制作技艺,温馨的乡村厨房美食静物.png,included
project-036-guilin-rice-noodles.png,桂林米粉制作技艺,温暖的亚洲面汤摆设.png,included
project-037-osmanthus-cake.png,桂花糕制作技艺,温暖的茶点时光.png,included
project-038-fermented-beancurd.png,腐乳传统制作技艺,温暖的腌制豆腐静物摄影.png,included
project-039-chaoshan-beef-ball.png,潮汕牛肉丸制作技艺,温馨的乡村厨房餐点.png,included
project-040-palace-lantern.png,宫灯制作技艺,红色灯笼手工艺工作室.png,included
project-041-fan-making.png,制扇技艺,传统工艺工作台静物.png,included
project-042-wood-carving.png,木雕技艺,木工雕刻与工具摆设.png,included
project-043-nut-carving.png,核雕技艺,工匠桌上的精致雕刻艺术.png,included
project-044-wheat-straw-painting.png,麦秆画制作技艺,温馨的手工艺工作台.png,included
project-045-lacquer-thread-sculpture.png,漆线雕技艺,金线雕刻的工艺桌面.png,included
project-046-puppet-head-carving.png,木偶头雕刻,木雕工作室的精致场景.png,included
project-047-cloth-tiger.png,布老虎制作技艺,手工艺工作室中的刺绣老虎玩具.png,included
project-048-straw-plaiting.png,草编技艺,温馨的编织工艺桌景.png,included
project-049-paper-flower.png,纸花制作技艺,温馨手工花卉工作台.png,included
project-050-gourd-carving.png,葫芦雕刻技艺,温暖的工艺雕刻场景.png,included
project-051-new-year-print-rubbing.png,年画拓印体验,传统木刻印刷与工艺桌.png,included
project-052-shadow-cutting.png,剪影技艺,传统剪纸艺术创作台.png,included
project-053-bamboo-paper-lamp.png,竹纸灯制作技艺,温暖的手工艺工作室.png,included
project-054-velvet-flower.png,绒花制作技艺,温暖的手工花卉工作坊.png,included
project-055-filigree-inlay.png,花丝镶嵌制作技艺,古老工艺的精致桌面.png,included
project-056-tongcao-flower.png,通草花制作技艺,手工花艺工作室场景.png,included
project-057-frog-button.png,盘扣制作技艺,传统织物与精致工艺摆设.png,included
project-058-traditional-hairpin.png,传统发簪制作技艺,古风发簪工艺静物.png,included
project-059-theatrical-makeup.png,戏曲妆容体验,传统戏曲化妆台细节.png,included
project-060-embroidered-shoes.png,绣花鞋制作技艺,温暖质朴的刺绣工坊.png,included
project-061-fish-lantern.png,鱼灯制作与巡游,灯笼鱼光夜游行.png,included
project-062-shehuo.png,社火表演,夜晚火光中的传统庆典.png,included
project-063-nuo-mask.png,傩戏面具制作与展演,传统工坊与神秘面具.png,included
project-064-iron-flower.png,打铁花,夜晚的火焰与仪式.png,included
project-065-lion-dance.png,舞狮,夜晚的狮子舞庆典.png,included
project-066-flower-lantern-festival.png,花灯会,灯笼节夜市的温馨灯光.png,included
project-067-sachet-making.png,香囊制作技艺,精致刺绣与手工艺品.png,included
project-068-moxa-herbal-sachet.png,艾草香包制作习俗,传统草药与香料静物.png,included
project-069-chinese-flower-arrangement.png,传统插花,温暖的插花静物风景.png,included
project-070-seasonal-customs.png,二十四节气民俗体验,温馨的古典茶桌摆设.png,included
